Date,Open,High,Low,Close,Volume
2001-08,6.867947101593018,7.5187201499938965,6.5375847816467285,7.365479946136475,331868905
2001-09,7.403292179107666,7.578423976898193,6.9674530029296875,7.381401062011719,153532558
2001-10,7.343587875366211,7.462996006011963,6.50773286819458,6.975413799285889,123683045
2001-11,6.975413799285889,7.204278945922852,6.563456058502197,7.033127784729004,49519892
2001-12,7.035118103027344,7.8212199211120605,6.895808219909668,7.67195987701416,125293936
2002-01,7.496828079223633,7.8212199211120605,6.905758857727051,7.48289680480957,193907341
2002-02,7.462996006011963,7.697832107543945,7.343587875366211,7.562502861022949,55067058
2002-03,7.552552223205566,7.916746139526367,7.3833909034729,7.415233135223389,123448265
2002-04,7.395331859588623,7.662008762359619,6.985363960266113,7.204278945922852,56832640
2002-05,7.260003089904785,7.283884048461914,6.865955829620361,6.955512046813965,26349508
2002-06,6.94556188583374,7.769476890563965,6.766449928283691,7.369460105895996,63479077
2002-07,7.379411220550537,7.461006164550781,6.841080188751221,6.856403827667236,40284261
2002-08,6.847647190093994,6.9571051597595215,6.633111000061035,6.670326232910156,21496304
2002-09,6.665947914123535,6.760080814361572,6.107716083526611,6.169012069702148,29299720
2002-10,6.169012069702148,6.171201229095459,5.6064019203186035,5.711481094360352,18578125
2002-11,5.709290981292725,5.9544758796691895,5.564807891845703,5.7530741691589355,26049893
2002-12,5.801236152648926,5.993879795074463,5.571374893188477,5.573564052581787,35860790
2003-01,5.604211807250977,5.95009708404541,5.363406181335449,5.884422779083252,32850132
2003-02,5.875667095184326,5.9216389656066895,5.735560894012451,5.866909980773926,10056834
2003-03,5.884422779083252,6.1252288818359375,5.562619209289551,5.702723979949951,30541628
2003-04,5.704913139343262,5.9982590675354,5.363406181335449,5.5144572257995605,91192817
2003-05,5.429080963134766,5.750885009765625,5.166382789611816,5.722425937652588,59277358
2003-06,5.739939212799072,5.746507167816162,5.418135166168213,5.464107036590576,33811995
2003-07,5.450972080230713,5.899746894836426,5.429080963134766,5.5746588706970215,42649932
2003-08,5.538537979125977,5.591515064239502,5.0569257736206055,5.179737091064453,17561531
2003-09,5.223082065582275,5.418135166168213,4.987092018127441,5.114718914031982,25096399
2003-10,5.085823059082031,5.418135166168213,5.0569257736206055,5.391645908355713,19105551
2003-11,5.461480140686035,5.743223190307617,5.377198219299316,5.533721923828125,40057633
2003-12,5.610779762268066,6.183897972106934,5.502417087554932,6.116473197937012,61425109
2004-01,6.140552997589111,7.019495010375977,6.020150184631348,6.771464824676514,53574723
2004-02,6.86297082901001,7.091736793518066,6.549922943115234,6.83889102935791,62886680
2004-03,6.826849937438965,8.560653686523438,6.744976043701172,8.437843322753906,128488280
2004-04,8.377640724182129,9.75745964050293,8.377640724182129,9.013368606567383,112485447
2004-05,8.738849639892578,9.14822006225586,8.428210258483887,8.880926132202148,37676174
2004-06,8.880926132202148,9.018184661865234,7.75395393371582,8.151283264160156,58753520
2004-07,7.832456111907959,9.973703384399414,7.829326152801514,9.413348197937012,60253818
2004-08,9.407087326049805,9.488478660583496,9.015776634216309,9.13160514831543,24821702
2004-09,9.094038963317871,11.326069831848145,8.737165451049805,11.260330200195312,59301874
2004-10,11.113198280334473,12.709741592407227,10.815801620483398,12.196343421936035,49426984
2004-11,12.077384948730469,12.468694686889648,11.26659107208252,11.598422050476074,45215858
2004-12,11.742424011230469,11.801902770996094,10.699974060058594,11.470071792602539,30813282
2005-01,11.488855361938477,12.45930290222168,11.269721984863281,12.321561813354492,22633766
2005-02,12.20886516571045,13.855497360229492,12.105559349060059,13.61758041381836,27244033
2005-03,13.742798805236816,15.715001106262207,13.210618019104004,15.060730934143066,44270815
2005-04,15.051339149475098,16.757450103759766,14.500374794006348,16.591535568237305,41943605
2005-05,16.372400283813477,16.638492584228516,13.558100700378418,13.95254135131836,43406387
2005-06,13.961933135986328,17.1988468170166,12.402955055236816,16.795015335083008,50885770
2005-07,17.214500427246094,17.214500427246094,15.545954704284668,16.64162254333496,30488923
2005-08,16.66666603088379,19.620586395263672,16.513273239135742,18.3546199798584,40288886
2005-09,18.317054748535156,19.376407623291016,18.0390682220459,18.580015182495117,19305478
2005-10,18.6701717376709,18.6701717376709,16.86326026916504,18.102930068969727,30194704
2005-11,18.17806053161621,18.23816680908203,16.11570167541504,16.43125343322754,29315485
2005-12,16.337339401245117,17.580766677856445,15.214123725891113,17.137489318847656,58265666
2006-01,17.468069076538086,18.14425277709961,16.570247650146484,17.746055603027344,61056405
2006-02,17.137489318847656,23.478586196899414,17.02479362487793,23.39218521118164,59432353
2006-03,23.39218521118164,23.39218521118164,23.39218521118164,23.39218521118164,0
2006-04,23.39218521118164,35.011268615722656,23.39218521118164,34.33884048461914,55365545
2006-05,34.33884048461914,38.99323654174805,28.309541702270508,36.0781364440918,87991358
2006-06,36.0781364440918,37.640869140625,30.811418533325195,35.642372131347656,157146978
2006-07,35.62734603881836,35.62734603881836,32.21637725830078,33.0578498840332,75681701
2006-08,33.0578498840332,34.718257904052734,30.864011764526367,33.98196792602539,38851871
2006-09,34.07212448120117,35.97295379638672,32.4567985534668,35.63486099243164,50679389
2006-10,35.16153335571289,41.98347091674805,34.93613815307617,40.56348419189453,48875303
2006-11,40.27047348022461,51.975955963134766,39.33884048461914,50.90157699584961,75593714
